name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_using_ranges_set_intersection/2/8",24915243,53.5608,53.5605,ns,,,,,
"BM_using_ranges_set_intersection/3/8",11055408,48.4137,48.4132,ns,,,,,
"BM_using_ranges_set_intersection/4/8",10000000,84.2319,84.2311,ns,,,,,
"BM_using_ranges_set_intersection/5/8",17915376,57.5061,57.5057,ns,,,,,
"BM_using_ranges_set_intersection/6/8",7005396,90.3887,90.3877,ns,,,,,
"BM_using_ranges_set_intersection/7/8",8362554,102.74,102.739,ns,,,,,
"BM_using_ranges_set_intersection/2/64",5347543,130.704,130.702,ns,,,,,
"BM_using_ranges_set_intersection/3/64",4467307,220.073,220.07,ns,,,,,
"BM_using_ranges_set_intersection/4/64",4288634,194.701,194.699,ns,,,,,
"BM_using_ranges_set_intersection/5/64",2395029,274.856,274.854,ns,,,,,
"BM_using_ranges_set_intersection/6/64",2955155,292.648,292.644,ns,,,,,
"BM_using_ranges_set_intersection/7/64",2295357,359.877,359.874,ns,,,,,
"BM_using_ranges_set_intersection/2/512",1047011,674.665,674.657,ns,,,,,
"BM_using_ranges_set_intersection/3/512",670616,1035.6,1035.59,ns,,,,,
"BM_using_ranges_set_intersection/4/512",517593,1217.4,1217.39,ns,,,,,
"BM_using_ranges_set_intersection/5/512",535837,1670.34,1670.32,ns,,,,,
"BM_using_ranges_set_intersection/6/512",348799,1764.02,1764.01,ns,,,,,
"BM_using_ranges_set_intersection/7/512",315236,2137.98,2137.96,ns,,,,,
"BM_using_ranges_set_intersection/2/4096",35126,20263.6,20263.5,ns,,,,,
"BM_using_ranges_set_intersection/3/4096",25925,27637.7,27637.3,ns,,,,,
"BM_using_ranges_set_intersection/4/4096",21922,32217.7,32217,ns,,,,,
"BM_using_ranges_set_intersection/5/4096",18816,36679.1,36678.8,ns,,,,,
"BM_using_ranges_set_intersection/6/4096",17447,40719.3,40719.1,ns,,,,,
"BM_using_ranges_set_intersection/7/4096",15593,45670.1,45668.9,ns,,,,,
"BM_using_ranges_set_intersection/2/32768",3481,200397,200392,ns,,,,,
"BM_using_ranges_set_intersection/3/32768",2840,246794,246785,ns,,,,,
"BM_using_ranges_set_intersection/4/32768",2500,278986,278981,ns,,,,,
"BM_using_ranges_set_intersection/5/32768",2261,307688,307681,ns,,,,,
"BM_using_ranges_set_intersection/6/32768",2076,336747,336742,ns,,,,,
"BM_using_ranges_set_intersection/7/32768",1905,367575,367560,ns,,,,,
"BM_using_ranges_set_intersection/2/262144",421,1.65688e+06,1.6568e+06,ns,,,,,
"BM_using_ranges_set_intersection/3/262144",344,2.01812e+06,2.01795e+06,ns,,,,,
"BM_using_ranges_set_intersection/4/262144",306,2.28261e+06,2.28258e+06,ns,,,,,
"BM_using_ranges_set_intersection/5/262144",274,2.54424e+06,2.54414e+06,ns,,,,,
"BM_using_ranges_set_intersection/6/262144",245,2.84832e+06,2.84816e+06,ns,,,,,
"BM_using_ranges_set_intersection/7/262144",219,3.17906e+06,3.17885e+06,ns,,,,,
"BM_using_set_intersection_in_place/2/8",25426626,24.1401,24.14,ns,,,,,
"BM_using_set_intersection_in_place/3/8",22985330,33.3875,33.3869,ns,,,,,
"BM_using_set_intersection_in_place/4/8",19592987,35.6428,35.6425,ns,,,,,
"BM_using_set_intersection_in_place/5/8",15060888,41.1277,41.1276,ns,,,,,
"BM_using_set_intersection_in_place/6/8",13617929,50.8812,50.881,ns,,,,,
"BM_using_set_intersection_in_place/7/8",13683752,57.6424,57.6419,ns,,,,,
"BM_using_set_intersection_in_place/2/64",7546492,94.2115,94.2108,ns,,,,,
"BM_using_set_intersection_in_place/3/64",5488093,131.297,131.295,ns,,,,,
"BM_using_set_intersection_in_place/4/64",4580119,143.282,143.281,ns,,,,,
"BM_using_set_intersection_in_place/5/64",4017637,160.246,160.245,ns,,,,,
"BM_using_set_intersection_in_place/6/64",4201749,219.823,219.821,ns,,,,,
"BM_using_set_intersection_in_place/7/64",3457196,192.858,192.856,ns,,,,,
"BM_using_set_intersection_in_place/2/512",1069125,660.469,660.462,ns,,,,,
"BM_using_set_intersection_in_place/3/512",756284,899.125,899.117,ns,,,,,
"BM_using_set_intersection_in_place/4/512",558945,1161.09,1161.08,ns,,,,,
"BM_using_set_intersection_in_place/5/512",465869,1441.14,1441.13,ns,,,,,
"BM_using_set_intersection_in_place/6/512",457629,1357.52,1357.51,ns,,,,,
"BM_using_set_intersection_in_place/7/512",433380,1992.52,1992.51,ns,,,,,
"BM_using_set_intersection_in_place/2/4096",39413,17596.9,17596.8,ns,,,,,
"BM_using_set_intersection_in_place/3/4096",29979,23317.4,23317.1,ns,,,,,
"BM_using_set_intersection_in_place/4/4096",25827,27239,27238.8,ns,,,,,
"BM_using_set_intersection_in_place/5/4096",22624,30774.8,30774.5,ns,,,,,
"BM_using_set_intersection_in_place/6/4096",20723,33825.4,33825,ns,,,,,
"BM_using_set_intersection_in_place/7/4096",18683,36790.4,36790,ns,,,,,
"BM_using_set_intersection_in_place/2/32768",3689,188774,188771,ns,,,,,
"BM_using_set_intersection_in_place/3/32768",2949,236269,236260,ns,,,,,
"BM_using_set_intersection_in_place/4/32768",2627,267608,267607,ns,,,,,
"BM_using_set_intersection_in_place/5/32768",2385,293693,293687,ns,,,,,
"BM_using_set_intersection_in_place/6/32768",2169,321851,321844,ns,,,,,
"BM_using_set_intersection_in_place/7/32768",2000,350007,349995,ns,,,,,
"BM_using_set_intersection_in_place/2/262144",441,1.58779e+06,1.58776e+06,ns,,,,,
"BM_using_set_intersection_in_place/3/262144",354,1.9748e+06,1.9747e+06,ns,,,,,
"BM_using_set_intersection_in_place/4/262144",313,2.24084e+06,2.24074e+06,ns,,,,,
"BM_using_set_intersection_in_place/5/262144",284,2.4758e+06,2.47575e+06,ns,,,,,
"BM_using_set_intersection_in_place/6/262144",257,2.75148e+06,2.7514e+06,ns,,,,,
"BM_using_set_intersection_in_place/7/262144",230,3.02074e+06,3.02065e+06,ns,,,,,
"BM_using_galloping_search/2/8",22874772,30.9863,30.986,ns,,,,,
"BM_using_galloping_search/3/8",15142873,38.9414,38.9408,ns,,,,,
"BM_using_galloping_search/4/8",13978225,47.6941,47.6937,ns,,,,,
"BM_using_galloping_search/5/8",13016122,49.8379,49.8375,ns,,,,,
"BM_using_galloping_search/6/8",10505751,69.1032,69.1028,ns,,,,,
"BM_using_galloping_search/7/8",9033784,69.0684,69.0681,ns,,,,,
"BM_using_galloping_search/2/64",5895840,110.148,110.147,ns,,,,,
"BM_using_galloping_search/3/64",4280172,181.137,181.135,ns,,,,,
"BM_using_galloping_search/4/64",3629638,164.772,164.771,ns,,,,,
"BM_using_galloping_search/5/64",3042026,178.142,178.14,ns,,,,,
"BM_using_galloping_search/6/64",3007090,248.096,248.095,ns,,,,,
"BM_using_galloping_search/7/64",3111409,260.193,260.191,ns,,,,,
"BM_using_galloping_search/2/512",872609,827.26,827.246,ns,,,,,
"BM_using_galloping_search/3/512",599962,1180.37,1180.35,ns,,,,,
"BM_using_galloping_search/4/512",513257,1351.15,1351.15,ns,,,,,
"BM_using_galloping_search/5/512",473397,1480.03,1480.01,ns,,,,,
"BM_using_galloping_search/6/512",408042,1629.16,1629.14,ns,,,,,
"BM_using_galloping_search/7/512",416227,1627.46,1627.45,ns,,,,,
"BM_using_galloping_search/2/4096",37825,18609.3,18609.3,ns,,,,,
"BM_using_galloping_search/3/4096",25871,26586.6,26586.4,ns,,,,,
"BM_using_galloping_search/4/4096",21287,31992,31991.5,ns,,,,,
"BM_using_galloping_search/5/4096",19390,37113.4,37113,ns,,,,,
"BM_using_galloping_search/6/4096",17382,40771,40770.5,ns,,,,,
"BM_using_galloping_search/7/4096",15773,44792.4,44792,ns,,,,,
"BM_using_galloping_search/2/32768",3398,206186,206183,ns,,,,,
"BM_using_galloping_search/3/32768",2591,271455,271443,ns,,,,,
"BM_using_galloping_search/4/32768",2261,306873,306869,ns,,,,,
"BM_using_galloping_search/5/32768",2085,337261,337257,ns,,,,,
"BM_using_galloping_search/6/32768",1923,364980,364977,ns,,,,,
"BM_using_galloping_search/7/32768",1812,390601,390596,ns,,,,,
"BM_using_galloping_search/2/262144",409,1.70921e+06,1.7092e+06,ns,,,,,
"BM_using_galloping_search/3/262144",316,2.21005e+06,2.21002e+06,ns,,,,,
"BM_using_galloping_search/4/262144",277,2.52426e+06,2.52413e+06,ns,,,,,
"BM_using_galloping_search/5/262144",254,2.74512e+06,2.74507e+06,ns,,,,,
"BM_using_galloping_search/6/262144",234,2.97649e+06,2.97637e+06,ns,,,,,
"BM_using_galloping_search/7/262144",220,3.20235e+06,3.20223e+06,ns,,,,,
"BM_using_binary_search/2/8",20567068,27.4323,27.4321,ns,,,,,
"BM_using_binary_search/3/8",15722765,45.299,45.2985,ns,,,,,
"BM_using_binary_search/4/8",13115755,50.013,50.0125,ns,,,,,
"BM_using_binary_search/5/8",13487870,53.6265,53.6259,ns,,,,,
"BM_using_binary_search/6/8",9520572,72.9278,72.9271,ns,,,,,
"BM_using_binary_search/7/8",9204917,67.4601,67.4586,ns,,,,,
"BM_using_binary_search/2/64",4804126,159.251,159.25,ns,,,,,
"BM_using_binary_search/3/64",3610828,209.616,209.614,ns,,,,,
"BM_using_binary_search/4/64",3454640,216.724,216.716,ns,,,,,
"BM_using_binary_search/5/64",2969556,252.609,252.607,ns,,,,,
"BM_using_binary_search/6/64",2900522,219.261,219.26,ns,,,,,
"BM_using_binary_search/7/64",2751297,282.702,282.7,ns,,,,,
"BM_using_binary_search/2/512",526254,1429.16,1429.16,ns,,,,,
"BM_using_binary_search/3/512",423849,1680.61,1680.59,ns,,,,,
"BM_using_binary_search/4/512",383363,1766.65,1766.64,ns,,,,,
"BM_using_binary_search/5/512",359632,1893.64,1893.61,ns,,,,,
"BM_using_binary_search/6/512",348398,1945.78,1945.76,ns,,,,,
"BM_using_binary_search/7/512",330575,1948.41,1948.39,ns,,,,,
"BM_using_binary_search/2/4096",21092,33414,33413.8,ns,,,,,
"BM_using_binary_search/3/4096",15752,43410.6,43409.9,ns,,,,,
"BM_using_binary_search/4/4096",13683,49650,49649.6,ns,,,,,
"BM_using_binary_search/5/4096",12799,53565,53562.9,ns,,,,,
"BM_using_binary_search/6/4096",12270,56518.9,56518.6,ns,,,,,
"BM_using_binary_search/7/4096",11526,60491.8,60491,ns,,,,,
"BM_using_binary_search/2/32768",2079,336602,336596,ns,,,,,
"BM_using_binary_search/3/32768",1655,422639,422635,ns,,,,,
"BM_using_binary_search/4/32768",1497,467195,467189,ns,,,,,
"BM_using_binary_search/5/32768",1390,492681,492679,ns,,,,,
"BM_using_binary_search/6/32768",1325,523743,523734,ns,,,,,
"BM_using_binary_search/7/32768",1268,553007,553004,ns,,,,,
"BM_using_binary_search/2/262144",243,2.87481e+06,2.87477e+06,ns,,,,,
"BM_using_binary_search/3/262144",195,3.58589e+06,3.58589e+06,ns,,,,,
"BM_using_binary_search/4/262144",177,3.94981e+06,3.94964e+06,ns,,,,,
"BM_using_binary_search/5/262144",165,4.25834e+06,4.25807e+06,ns,,,,,
"BM_using_binary_search/6/262144",155,4.50305e+06,4.50284e+06,ns,,,,,
"BM_using_binary_search/7/262144",147,4.76947e+06,4.76938e+06,ns,,,,,
"BM_using_less_branching/2/8",23104156,29.9205,29.9203,ns,,,,,
"BM_using_less_branching/3/8",19244891,36.8085,36.8082,ns,,,,,
"BM_using_less_branching/4/8",13249302,44.6977,44.697,ns,,,,,
"BM_using_less_branching/5/8",12495447,47.8727,47.8723,ns,,,,,
"BM_using_less_branching/6/8",11325984,69.2846,69.2842,ns,,,,,
"BM_using_less_branching/7/8",10533689,63.0425,63.0422,ns,,,,,
"BM_using_less_branching/2/64",4325587,156.405,156.403,ns,,,,,
"BM_using_less_branching/3/64",3509894,200.703,200.702,ns,,,,,
"BM_using_less_branching/4/64",2784758,254.37,254.368,ns,,,,,
"BM_using_less_branching/5/64",2451833,243.076,243.065,ns,,,,,
"BM_using_less_branching/6/64",2163593,247.497,247.494,ns,,,,,
"BM_using_less_branching/7/64",1935735,333.879,333.874,ns,,,,,
"BM_using_less_branching/2/512",554061,1244.95,1244.94,ns,,,,,
"BM_using_less_branching/3/512",415800,1652.36,1652.34,ns,,,,,
"BM_using_less_branching/4/512",347428,2030.39,2030.39,ns,,,,,
"BM_using_less_branching/5/512",293747,2295.78,2295.77,ns,,,,,
"BM_using_less_branching/6/512",256665,2735.71,2735.69,ns,,,,,
"BM_using_less_branching/7/512",212501,2675.63,2675.61,ns,,,,,
"BM_using_less_branching/2/4096",28518,24221.2,24221,ns,,,,,
"BM_using_less_branching/3/4096",23139,29898.3,29898.1,ns,,,,,
"BM_using_less_branching/4/4096",20820,33715.8,33715.4,ns,,,,,
"BM_using_less_branching/5/4096",18290,37648.7,37647.1,ns,,,,,
"BM_using_less_branching/6/4096",16482,42571.2,42570.8,ns,,,,,
"BM_using_less_branching/7/4096",15049,46212,46211.3,ns,,,,,
"BM_using_less_branching/2/32768",3087,226495,226494,ns,,,,,
"BM_using_less_branching/3/32768",2575,272081,272076,ns,,,,,
"BM_using_less_branching/4/32768",2285,305083,305081,ns,,,,,
"BM_using_less_branching/5/32768",2084,333796,333791,ns,,,,,
"BM_using_less_branching/6/32768",1927,362319,362316,ns,,,,,
"BM_using_less_branching/7/32768",1781,392452,392448,ns,,,,,
"BM_using_less_branching/2/262144",374,1.87108e+06,1.87096e+06,ns,,,,,
"BM_using_less_branching/3/262144",311,2.26163e+06,2.2616e+06,ns,,,,,
"BM_using_less_branching/4/262144",277,2.54147e+06,2.5413e+06,ns,,,,,
"BM_using_less_branching/5/262144",252,2.77727e+06,2.77716e+06,ns,,,,,
"BM_using_less_branching/6/262144",228,3.0615e+06,3.06146e+06,ns,,,,,
"BM_using_less_branching/7/262144",208,3.36522e+06,3.3651e+06,ns,,,,,
"BM_using_less_branching_unrolled/2/8",22026797,31.7654,31.7649,ns,,,,,
"BM_using_less_branching_unrolled/3/8",17268082,42.862,42.8614,ns,,,,,
"BM_using_less_branching_unrolled/4/8",10000000,50.4981,50.4974,ns,,,,,
"BM_using_less_branching_unrolled/5/8",10064425,67.1054,67.1049,ns,,,,,
"BM_using_less_branching_unrolled/6/8",10060900,70.5187,70.518,ns,,,,,
"BM_using_less_branching_unrolled/7/8",8601956,70.6714,70.6706,ns,,,,,
"BM_using_less_branching_unrolled/2/64",4119680,156.694,156.692,ns,,,,,
"BM_using_less_branching_unrolled/3/64",3357356,201.812,201.81,ns,,,,,
"BM_using_less_branching_unrolled/4/64",2786382,253.773,253.771,ns,,,,,
"BM_using_less_branching_unrolled/5/64",2777545,223.94,223.938,ns,,,,,
"BM_using_less_branching_unrolled/6/64",2662179,288.697,288.696,ns,,,,,
"BM_using_less_branching_unrolled/7/64",2168073,311.802,311.8,ns,,,,,
"BM_using_less_branching_unrolled/2/512",559752,1250.75,1250.74,ns,,,,,
"BM_using_less_branching_unrolled/3/512",436560,1584.09,1584.08,ns,,,,,
"BM_using_less_branching_unrolled/4/512",376742,1869.35,1869.34,ns,,,,,
"BM_using_less_branching_unrolled/5/512",321869,2259.71,2259.68,ns,,,,,
"BM_using_less_branching_unrolled/6/512",291272,2510.28,2510.26,ns,,,,,
"BM_using_less_branching_unrolled/7/512",314194,2725.61,2725.58,ns,,,,,
"BM_using_less_branching_unrolled/2/4096",42363,16243.8,16243.7,ns,,,,,
"BM_using_less_branching_unrolled/3/4096",33458,20850,20849.6,ns,,,,,
"BM_using_less_branching_unrolled/4/4096",28200,24857.4,24856.9,ns,,,,,
"BM_using_less_branching_unrolled/5/4096",24242,28467.6,28467.3,ns,,,,,
"BM_using_less_branching_unrolled/6/4096",21711,32033.2,32032.8,ns,,,,,
"BM_using_less_branching_unrolled/7/4096",19358,37116.2,37115.5,ns,,,,,
"BM_using_less_branching_unrolled/2/32768",3081,226579,226577,ns,,,,,
"BM_using_less_branching_unrolled/3/32768",2589,271709,271704,ns,,,,,
"BM_using_less_branching_unrolled/4/32768",2337,300638,300636,ns,,,,,
"BM_using_less_branching_unrolled/5/32768",2123,328370,328367,ns,,,,,
"BM_using_less_branching_unrolled/6/32768",1973,355426,355420,ns,,,,,
"BM_using_less_branching_unrolled/7/32768",1825,383221,383218,ns,,,,,
"BM_using_less_branching_unrolled/2/262144",368,1.89522e+06,1.89512e+06,ns,,,,,
"BM_using_less_branching_unrolled/3/262144",311,2.24709e+06,2.247e+06,ns,,,,,
"BM_using_less_branching_unrolled/4/262144",281,2.49075e+06,2.49068e+06,ns,,,,,
"BM_using_less_branching_unrolled/5/262144",256,2.72358e+06,2.72352e+06,ns,,,,,
"BM_using_less_branching_unrolled/6/262144",234,2.9957e+06,2.99555e+06,ns,,,,,
"BM_using_less_branching_unrolled/7/262144",213,3.27324e+06,3.27309e+06,ns,,,,,
